Razón social,Macrosector,"Tipo de propiedad (Privada, Pública, Mixta)",¿Es empresa familiar? Si/No,¿Cotiza en bolsa? Si/No,¿Multinacional? Si/No,Año de fundación,País de base principal (nacionalidad),Ingresos operacionales,Variable,Valor,Bloque,Nombre Pilar,Ponderación Materialidad,Valoración,valoracionPonderada
Aliar,Agropecuario,Privada,No,No,No,2007,Colombia,0.97802211500000003,¿Cuál es el porcentaje de proveeduría local?,No informa,Impacto económico y gobernanza,"Impacto Económico, Social y Comunitario",14.0%,0,0
Alimentos Carnicos (Grupo Nutresa),Manufactura,Privada,No,Si,Si,1920,Colombia,2.844632077,¿Cuál es el porcentaje de proveeduría local?,0.80000000000000004,Impacto económico y gobernanza,"Impacto Económico, Social y Comunitario",11.0%,79.05905347,8.322005628
Alpina,Manufactura,Privada,No,No,Si,1945,Colombia,2.1764613960000001,¿Cuál es el porcentaje de proveeduría local?,0.91000000000000003,Impacto económico y gobernanza,"Impacto Económico, Social y Comunitario",11.0%,94.41574759,9.93849975
Amarilo,Construcción,Privada,Si,No,No,1993,Colombia,2.1863011939999999,¿Cuál es el porcentaje de proveeduría local?,0.53000000000000003,Impacto económico y gobernanza,"Impacto Económico, Social y Comunitario",14.0%,0,0.0000000000000000
ARA,Comercio,Privada,No,No,Si,2012,Colombia,13.83118268,¿Cuál es el porcentaje de proveeduría local?,No informa ,Impacto económico y gobernanza,"Impacto Económico, Social y Comunitario",12.0%,0,0
ARQUITECTURA Y CONCRETO,Construcción,Privada,Si,No,No,1990,Colombia,0.77142869199999997,¿Cuál es el porcentaje de proveeduría local?,No informa ,Impacto económico y gobernanza,"Impacto Económico, Social y Comunitario",14.0%,0,0
AUTOPISTA RIO MAGDALENA SAS,Construcción,Privada,No,No,No,2014,Colombia,1.314259836,¿Cuál es el porcentaje de proveeduría local?,No informa,Impacto económico y gobernanza,"Impacto Económico, Social y Comunitario",14.0%,0,0
Avianca,Servicios,Privada,No,No,Si,1919,Colombia,15.10604245,¿Cuál es el porcentaje de proveeduría local?,0.22,Impacto económico y gobernanza,"Impacto Económico, Social y Comunitario",12.0%,8.641975308999999,1.0167029770000000
AVICOLA EL MADROÑO SA,Agropecuario,Privada,No,No,No,1987,Colombia,0.711210393,¿Cuál es el porcentaje de proveeduría local?,No informa ,Impacto económico y gobernanza,"Impacto Económico, Social y Comunitario",14.0%,0,0
AVSA,Agropecuario,Privada,Si,No,No,1969,Colombia,2.4231643530000002,¿Cuál es el porcentaje de proveeduría local?,No informa,Impacto económico y gobernanza,"Impacto Económico, Social y Comunitario",14.0%,0,0
